surveyid,country,year,sex,agegr,prev,se,ci_l,ci_u,var,n,deff,deff15to49,ISO
NI2012DHS,Niger,2012,male,25-29,0.00277319600836601,0.00208023104503079,0.000631521073595179,0.0120900584972935,4.32736120070987e-06,438,0.685366302742386,1.17808806916572,NI
NI2012DHS,Niger,2012,male,30-34,0.00397635642863318,0.0033839391245044,0.000741743833106115,0.0210198211675393,1.14510439983516e-05,429,1.24035905481092,1.17808806916572,NI
NI2012DHS,Niger,2012,male,35-39,0.00892268117873366,0.00454563129071735,0.00326176644185786,0.0241700786596022,2.06627638311487e-05,449,1.04913612255241,1.17808806916572,NI
NI2012DHS,Niger,2012,male,40-44,0.0032955054885778,0.00191067302717066,0.0010499568726287,0.0102941312251123,3.65067141675751e-06,395,0.439017047992093,1.17808806916572,NI
NI2012DHS,Niger,2012,male,45-49,0.00993630285203894,0.00534925281510136,0.00342465454476571,0.02847544491077,2.86145056798698e-05,329,0.956960890629761,1.17808806916572,NI
NI2012DHS,Niger,2012,male,50-54,2.73809657029029e-12,0,2.39045305468422e-12,3.13629787187997e-12,0,274,0,1.17808806916572,NI
NI2012DHS,Niger,2012,male,55-59,0.00623361752148087,0.00513223686733138,0.00121839303378803,0.0312469695135771,2.63398552623954e-05,196,0.833383701664363,1.17808806916572,NI
NI2012DHS,Niger,2012,female,15-19,2.7125760447852e-12,0,2.46697851708752e-12,2.98262378361899e-12,0,862,0,1.17808806916572,NI
NI2012DHS,Niger,2012,female,20-24,0.00154671159072959,0.00101443673175611,0.000425592350268756,0.00560458685881219,1.02908188273601e-06,902,0.601062146840162,1.17808806916572,NI
NI2012DHS,Niger,2012,female,25-29,0.0025475021362642,0.00151127173864583,0.000792668635175195,0.00815552988245489,2.28394226802958e-06,1017,0.914111759078695,1.17808806916572,NI
NI2012DHS,Niger,2012,female,30-34,0.00772487930643668,0.00251424399703151,0.00406829897787041,0.0146197434555518,6.32142287660901e-06,877,0.723253646548272,1.17808806916572,NI
NI2012DHS,Niger,2012,female,35-39,0.00485436117152695,0.00276631223029401,0.00157881788319735,0.0148247078386161,7.65248335547421e-06,651,1.03125164141874,1.17808806916572,NI
NI2012DHS,Niger,2012,female,40-44,0.0083879641751758,0.00507782860136229,0.00253578007007223,0.0273754044703842,2.57843433048129e-05,441,1.36708748647428,1.17808806916572,NI
NI2012DHS,Niger,2012,female,45-49,0.0018170434733364,0.00182566832377936,0.000250314808291516,0.0130618593169491,3.33306482845134e-06,351,0.645023309154868,1.17808806916572,NI
NM2013DHS,Namibia,2013,male,15-19,0.0201204219410811,0.00525567950697572,0.0120085573344853,0.0335259654201931,2.76221670800445e-05,787,1.10261193666199,2.3924202432276,NM
NM2013DHS,Namibia,2013,male,20-24,0.0343482624919965,0.00767550312896766,0.022065513658587,0.0530969678287416,5.89133482827923e-05,650,1.15452080463137,2.3924202432276,NM
NM2013DHS,Namibia,2013,male,25-29,0.0944076129136689,0.0172566612521403,0.0654886755252292,0.134262063474292,0.00029779235757112,535,1.86349207608337,2.3924202432276,NM
NM2013DHS,Namibia,2013,male,30-34,0.165877851653044,0.0236262813207698,0.12440272589519,0.217741924542644,0.000558201169048155,430,1.73476696028768,2.3924202432276,NM
NM2013DHS,Namibia,2013,male,35-39,0.226126424654018,0.0262868772464292,0.178559557556081,0.28201441231195,0.000690999915368839,399,1.57554044529634,2.3924202432276,NM
NM2013DHS,Namibia,2013,male,40-44,0.219426937157445,0.0295371649501016,0.166743517657829,0.283100567837127,0.000872444113289512,332,1.6911113303718,2.3924202432276,NM
NM2013DHS,Namibia,2013,male,45-49,0.218172035224999,0.0361137863199494,0.15522365861922,0.297653510165574,0.00130420556236296,266,2.03384288900065,2.3924202432276,NM
NM2013DHS,Namibia,2013,male,50-54,0.167406139913845,0.0367527497936012,0.106632403067318,0.253007588304287,0.00135076461739105,192,1.86069983167584,2.3924202432276,NM
NM2013DHS,Namibia,2013,male,55-59,0.19448545001663,0.0393883298611926,0.127912531188545,0.28440709778039,0.00155144052925411,150,1.48547684317433,2.3924202432276,NM
NM2013DHS,Namibia,2013,male,60-64,0.109990175100586,0.0308834773642141,0.0619311626001659,0.187874138331436,0.000953789174105922,133,1.29585179713741,2.3924202432276,NM
NM2013DHS,Namibia,2013,female,15-19,0.0253036242321283,0.0052223544089572,0.0168301870610947,0.0378787934001714,2.72729855727547e-05,848,0.937727072141956,2.3924202432276,NM
NM2013DHS,Namibia,2013,female,20-24,0.0636939257571515,0.00999789510178354,0.0466432418483663,0.0864126188419408,9.99579064662673e-05,811,1.35932137973881,2.3924202432276,NM
NM2013DHS,Namibia,2013,female,25-29,0.163474570650214,0.0166290588799969,0.133337850473792,0.198859808082948,0.000276525599234405,662,1.33864055663404,2.3924202432276,NM
NM2013DHS,Namibia,2013,female,30-34,0.279895047808576,0.0224937288280464,0.237847365732613,0.326194682561466,0.000505967836589686,577,1.44846401902353,2.3924202432276,NM
NM2013DHS,Namibia,2013,female,35-39,0.308833102259354,0.0254228482433432,0.261170103194519,0.360945018523916,0.000646321212804058,543,1.64415010859286,2.3924202432276,NM
NM2013DHS,Namibia,2013,female,40-44,0.271060100116152,0.027654188492608,0.220139277167028,0.328793594166616,0.000764754141184691,413,1.59850710831258,2.3924202432276,NM
